frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
42,1.752,1,11,1.8000,1,0.2276,0.5795,0.1964,1,0.1840,0.4934,0.1230,1,0.3491,0.4438,0.1403,1,0.0124,0.4913,0.1466,1,0.5713,0.2294,0.2098,1,-0.2728,0.3583,0.1803,1,0.5591,0.2532,0.4558,1,-0.2667,0.3912,0.4255,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
45,1.877,1,11,1.8000,1,0.2449,0.5728,0.1957,1,0.1978,0.4883,0.1225,1,0.3630,0.4383,0.1367,1,0.0265,0.4908,0.1481,1,0.5977,0.2343,0.1958,1,-0.2630,0.3681,0.1847,1,0.6054,0.2417,0.4430,1,-0.2574,0.3754,0.4321,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
48,2.002,1,11,1.8000,1,0.2698,0.5556,0.2041,1,0.2190,0.4764,0.1276,1,0.3851,0.4281,0.1364,1,0.0476,0.4792,0.1525,1,0.6296,0.2308,0.1750,1,-0.2478,0.3671,0.1703,1,0.6698,0.2011,0.4174,1,-0.2370,0.3228,0.4136,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
51,2.127,1,11,1.8000,1,-0.0303,0.6731,-0.0098,1,-0.0133,0.5530,-0.0107,1,0.1579,0.5278,-0.0029,1,-0.1837,0.5382,0.0163,1,0.4604,0.4382,-0.0283,1,-0.4257,0.3773,0.1418,1,0.6244,0.5837,0.0866,1,-0.3655,0.3870,0.3817,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
54,2.252,1,11,1.8000,1,-0.0749,0.6714,-0.0082,1,-0.0573,0.5514,-0.0101,1,0.1140,0.5259,-0.0057,1,-0.2273,0.5287,0.0140,1,0.4214,0.4531,-0.0250,1,-0.4503,0.3338,0.1256,1,0.5729,0.5811,0.1231,1,-0.3686,0.3042,0.3574,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
57,2.377,1,11,1.8000,1,-0.0864,0.6702,0.0084,1,-0.0695,0.5504,-0.0003,1,0.1017,0.5243,0.0013,1,-0.2389,0.5231,0.0232,1,0.4091,0.4516,-0.0189,1,-0.4590,0.3165,0.1184,1,0.5548,0.5719,0.1409,1,-0.3875,0.2780,0.3522,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
60,2.502,1,11,1.8000,1,-0.1000,0.6681,0.0150,1,-0.0816,0.5487,0.0038,1,0.0897,0.5227,0.0051,1,-0.2505,0.5178,0.0261,1,0.3985,0.4558,-0.0129,1,-0.4710,0.3064,0.1091,1,0.5415,0.5752,0.1500,1,-0.4196,0.2561,0.3459,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
63,2.628,1,11,1.8000,1,-0.0828,0.6705,0.0100,1,-0.0664,0.5508,-0.0003,1,0.1055,0.5291,-0.0028,1,-0.2357,0.5211,0.0204,1,0.4142,0.4721,-0.0429,1,-0.4642,0.3119,0.0857,1,0.5700,0.6063,0.0949,1,-0.4432,0.2455,0.3232,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
66,2.753,1,11,1.8000,1,-0.0664,0.6720,0.0090,1,-0.0505,0.5522,-0.0013,1,0.1219,0.5371,-0.0079,1,-0.2197,0.5235,0.0217,1,0.4283,0.4900,-0.0720,1,-0.4557,0.3230,0.0874,1,0.5976,0.6379,0.0315,1,-0.4296,0.2735,0.3285,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
69,2.878,1,11,1.8000,1,-0.0619,0.6724,0.0135,1,-0.0481,0.5525,0.0005,1,0.1244,0.5396,-0.0079,1,-0.2179,0.5235,0.0190,1,0.4308,0.4983,-0.0753,1,-0.4591,0.3218,0.0558,1,0.5967,0.6510,0.0269,1,-0.4289,0.2570,0.2927,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
